,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label,SegmentID,Subject
240,-3036.0,-12429.0,-4875.0,-6687.0,856.0,2861.0,1.updown,5,CW
241,-3152.0,-13268.0,-4623.0,-5758.0,1103.0,2338.0,1.updown,5,CW
242,-3154.0,-14096.0,-4371.0,-4744.0,1013.0,2020.0,1.updown,5,CW
243,-2895.0,-14498.0,-4039.0,-3739.0,688.0,1989.0,1.updown,5,CW
244,-2571.0,-14502.0,-3661.0,-2865.0,297.0,1878.0,1.updown,5,CW
245,-2274.0,-14322.0,-3321.0,-1992.0,-105.0,1474.0,1.updown,5,CW
246,-1969.0,-13662.0,-3108.0,-900.0,-446.0,748.0,1.updown,5,CW
247,-1621.0,-12740.0,-2965.0,270.0,-594.0,-231.0,1.updown,5,CW
248,-1220.0,-11788.0,-2741.0,1373.0,-483.0,-1152.0,1.updown,5,CW
249,-887.0,-10728.0,-2531.0,2353.0,-310.0,-1838.0,1.updown,5,CW
250,-909.0,-9654.0,-2456.0,3179.0,-271.0,-2294.0,1.updown,5,CW
251,-1085.0,-9028.0,-2647.0,3791.0,-352.0,-2645.0,1.updown,5,CW
252,-1123.0,-8688.0,-2862.0,4393.0,-438.0,-2722.0,1.updown,5,CW
253,-1024.0,-8204.0,-2924.0,4975.0,-475.0,-2523.0,1.updown,5,CW
254,-990.0,-7635.0,-2900.0,5437.0,-292.0,-2478.0,1.updown,5,CW
255,-1103.0,-7018.0,-2849.0,5874.0,28.0,-2760.0,1.updown,5,CW
256,-1320.0,-6314.0,-2748.0,6338.0,216.0,-2971.0,1.updown,5,CW
257,-1551.0,-5573.0,-2562.0,6726.0,167.0,-2821.0,1.updown,5,CW
258,-1650.0,-4753.0,-2305.0,7023.0,-51.0,-2514.0,1.updown,5,CW
259,-1565.0,-3901.0,-2036.0,7187.0,-250.0,-2339.0,1.updown,5,CW
260,-1517.0,-3241.0,-1930.0,7196.0,-291.0,-2524.0,1.updown,5,CW
261,-1490.0,-2754.0,-1844.0,7183.0,-237.0,-2804.0,1.updown,5,CW
262,-1379.0,-2134.0,-1633.0,7182.0,-189.0,-2786.0,1.updown,5,CW
263,-1255.0,-1386.0,-1390.0,7080.0,-95.0,-2571.0,1.updown,5,CW
264,-1211.0,-697.0,-1138.0,6876.0,62.0,-2361.0,1.updown,5,CW
265,-1162.0,-80.0,-774.0,6667.0,157.0,-2140.0,1.updown,5,CW
266,-1020.0,538.0,-416.0,6388.0,155.0,-1931.0,1.updown,5,CW
267,-835.0,1106.0,-78.0,5931.0,45.0,-1762.0,1.updown,5,CW
268,-729.0,1514.0,136.0,5365.0,-129.0,-1591.0,1.updown,5,CW
269,-697.0,1846.0,330.0,4854.0,-233.0,-1438.0,1.updown,5,CW
270,-661.0,2236.0,492.0,4406.0,-270.0,-1328.0,1.updown,5,CW
271,-555.0,2625.0,669.0,3896.0,-344.0,-1088.0,1.updown,5,CW
272,-205.0,2987.0,871.0,3305.0,-353.0,-723.0,1.updown,5,CW
273,108.0,3349.0,1028.0,2584.0,-243.0,-513.0,1.updown,5,CW
